candidate,instance,step,x,active
13,5,1,5.25,0
13,5,2,5.38,0
13,5,3,5.5,1
13,5,4,5.63,1
13,5,5,5.75,1
13,5,6,5.88,1
13,6,0,6.13,0
13,6,1,6.25,0
13,6,2,6.38,0
13,6,3,6.5,1
13,6,4,6.63,1
13,6,5,6.75,1
13,6,6,6.88,1
13,7,0,7.13,0
13,7,1,7.25,0
13,7,2,7.38,0
13,7,3,7.5,1
13,7,4,7.63,1
13,7,5,7.75,1
13,7,6,7.88,1
13,8,0,8.13,0
13,8,1,8.25,0
13,8,2,8.38,0
13,8,3,8.5,1
13,8,4,8.63,1
13,8,5,8.75,0
13,8,6,8.88,0
13,9,0,9.13,0
13,9,1,9.25,0
13,9,2,9.38,0
13,9,3,9.5,1
13,9,4,9.63,1
13,9,5,9.75,1
13,9,6,9.88,1
13,10,0,10.14,0
13,10,1,10.29,0
13,10,2,10.43,0
13,10,3,10.57,1
13,10,4,10.71,1
13,10,5,10.86,1
14,0,0,0.13,1
14,0,1,0.25,1
14,0,2,0.38,1
14,0,3,0.5,0
14,0,4,0.63,0
14,0,5,0.75,0
14,0,6,0.88,0
14,1,0,1.13,1
14,1,1,1.25,1
14,1,2,1.38,1
14,1,3,1.5,0
14,1,4,1.63,0
14,1,5,1.75,0
14,1,6,1.88,0
14,2,0,2.13,1
14,2,1,2.25,1
14,2,2,2.38,1
14,2,3,2.5,1
14,2,4,2.63,1
14,2,5,2.75,0
14,2,6,2.88,0
14,3,0,3.13,1
14,3,1,3.25,1
14,3,2,3.38,1
14,3,3,3.5,1
14,3,4,3.63,0
14,3,5,3.75,0
14,3,6,3.88,0
14,4,0,4.13,1
14,4,1,4.25,1
14,4,2,4.38,1
14,4,3,4.5,0
14,4,4,4.63,0
14,4,5,4.75,0
14,4,6,4.88,0
14,5,0,5.13,1
14,5,1,5.25,1
14,5,2,5.38,1
14,5,3,5.5,0
14,5,4,5.63,0
14,5,5,5.75,0
14,5,6,5.88,0
14,6,0,6.13,1
14,6,1,6.25,1
14,6,2,6.38,1
14,6,3,6.5,1
14,6,4,6.63,0
14,6,5,6.75,0
14,6,6,6.88,0
14,7,0,7.13,1
14,7,1,7.25,1
14,7,2,7.38,1
14,7,3,7.5,1
14,7,4,7.63,0
14,7,5,7.75,0
14,7,6,7.88,0
14,8,0,8.13,1
14,8,1,8.25,1
14,8,2,8.38,1
14,8,3,8.5,1
14,8,4,8.63,0
14,8,5,8.75,0
14,8,6,8.88,0
14,9,0,9.13,1
14,9,1,9.25,1
14,9,2,9.38,1
14,9,3,9.5,1
14,9,4,9.63,1
14,9,5,9.75,0
14,9,6,9.88,0
14,10,0,10.14,1
14,10,1,10.29,1
14,10,2,10.43,1
14,10,3,10.57,1
14,10,4,10.71,0
14,10,5,10.86,0
