candidate,instance,step,x,active
12,4,0,4.13,1
12,4,1,4.25,1
12,4,2,4.38,1
12,4,3,4.5,1
12,4,4,4.63,1
12,4,5,4.75,0
12,4,6,4.88,0
12,5,0,5.13,1
12,5,1,5.25,1
12,5,2,5.38,1
12,5,3,5.5,1
12,5,4,5.63,1
12,5,5,5.75,0
12,5,6,5.88,0
12,6,0,6.13,1
12,6,1,6.25,1
12,6,2,6.38,1
12,6,3,6.5,1
12,6,4,6.63,1
12,6,5,6.75,0
12,6,6,6.88,0
12,7,0,7.14,1
12,7,1,7.29,1
12,7,2,7.43,1
12,7,3,7.57,1
12,7,4,7.71,1
12,7,5,7.86,0
13,0,0,0.13,1
13,0,1,0.25,1
13,0,2,0.38,1
13,0,3,0.5,1
13,0,4,0.63,1
13,0,5,0.75,0
13,0,6,0.88,0
13,1,0,1.13,1
13,1,1,1.25,1
13,1,2,1.38,1
13,1,3,1.5,1
13,1,4,1.63,1
13,1,5,1.75,0
13,1,6,1.88,0
13,2,0,2.13,1
13,2,1,2.25,1
13,2,2,2.38,1
13,2,3,2.5,1
13,2,4,2.63,1
13,2,5,2.75,1
13,2,6,2.88,0
13,3,0,3.13,1
13,3,1,3.25,1
13,3,2,3.38,1
13,3,3,3.5,1
13,3,4,3.63,1
13,3,5,3.75,0
13,3,6,3.88,0
13,4,0,4.13,1
13,4,1,4.25,1
13,4,2,4.38,1
13,4,3,4.5,1
13,4,4,4.63,1
13,4,5,4.75,0
13,4,6,4.88,0
13,5,0,5.13,1
13,5,1,5.25,1
13,5,2,5.38,1
13,5,3,5.5,1
13,5,4,5.63,1
13,5,5,5.75,0
13,5,6,5.88,0
13,6,0,6.13,1
13,6,1,6.25,1
13,6,2,6.38,1
13,6,3,6.5,1
13,6,4,6.63,1
13,6,5,6.75,0
13,6,6,6.88,0
13,7,0,7.14,1
13,7,1,7.29,1
13,7,2,7.43,1
13,7,3,7.57,1
13,7,4,7.71,1
13,7,5,7.86,0
14,0,0,0.13,1
14,0,1,0.25,1
14,0,2,0.38,1
14,0,3,0.5,1
14,0,4,0.63,1
14,0,5,0.75,0
14,0,6,0.88,0
14,1,0,1.13,1
14,1,1,1.25,1
14,1,2,1.38,1
14,1,3,1.5,1
14,1,4,1.63,1
14,1,5,1.75,0
14,1,6,1.88,0
14,2,0,2.13,1
14,2,1,2.25,1
14,2,2,2.38,1
14,2,3,2.5,1
14,2,4,2.63,1
14,2,5,2.75,1
14,2,6,2.88,0
14,3,0,3.13,1
14,3,1,3.25,1
14,3,2,3.38,1
14,3,3,3.5,1
14,3,4,3.63,1
14,3,5,3.75,0
14,3,6,3.88,0
14,4,0,4.13,1
14,4,1,4.25,1
14,4,2,4.38,1
14,4,3,4.5,1
14,4,4,4.63,1
14,4,5,4.75,0
14,4,6,4.88,0
14,5,0,5.13,1
14,5,1,5.25,1
14,5,2,5.38,1
14,5,3,5.5,1
14,5,4,5.63,1
14,5,5,5.75,0
14,5,6,5.88,0
14,6,0,6.13,1
14,6,1,6.25,1
14,6,2,6.38,1
14,6,3,6.5,1
14,6,4,6.63,1
14,6,5,6.75,0
14,6,6,6.88,0
14,7,0,7.14,1
14,7,1,7.29,1
14,7,2,7.43,1
14,7,3,7.57,1
14,7,4,7.71,1
14,7,5,7.86,0
